Year,Month,PastTemperature,PastPrecipitation,Encode
2023,1,26.6,0.78,0
2023,2,25,0.94,0
2023,3,35,1.44,0
2023,4,43.7,0.73,0
2023,5,53.3,1.6,0
2023,6,64.3,1.41,0
2023,7,70.3,2.82,0
2023,8,67.8,1.92,0
2023,9,62.5,1.21,0
2023,10,47.6,1.12,0
2023,11,31.3,0.91,0
2023,12,25.6,1.58,0
2023,1,29.8,0.37,1
2023,2,31.8,0.37,1
2023,3,44.1,2.16,1
2023,4,54.1,0.98,1
2023,5,64.7,5.36,1
2023,6,75.8,3.47,1
2023,7,81.1,3.01,1
2023,8,79.2,1.23,1
2023,9,72,1.36,1
2023,10,57.7,0.71,1
2023,11,41.1,1.49,1
2023,12,30.6,0.73,1
2023,1,3.6,0.59,2
2023,2,6.5,0.79,2
2023,3,26.1,1.16,2
2023,4,35.6,3.72,2
2023,5,55.4,5.03,2
2023,6,66.2,2.79,2
2023,7,69.7,3.08,2
2023,8,67.3,3.75,2
2023,9,60.2,1.52,2
2023,10,46.9,0.68,2
2023,11,30.1,1.77,2
2023,12,12.6,1.89,2
2023,1,22.9,0.97,3
2023,2,22.4,0.85,3
2023,3,33.5,0.96,3
2023,4,35.2,1.93,3
2023,5,48.6,2.39,3
2023,6,58.5,2.89,3
2023,7,69.1,1.81,3
2023,8,69.7,0.88,3
2023,9,60.7,1.05,3
2023,10,47.2,1.63,3
2023,11,22.6,1.36,3
2023,12,14.6,1.55,3
2023,1,25.6,0.25,4
2023,2,26.8,0.12,4
2023,3,38,0.86,4
2023,4,46.5,1.65,4
2023,5,58.7,3.64,4
2023,6,71.4,1.78,4
2023,7,76.4,3.07,4
2023,8,74.9,1.01,4
2023,9,67.4,1.35,4
2023,10,52.2,0.56,4
2023,11,34.4,0.31,4
2023,12,22.7,1.01,4
2023,1,8.7,0.45,5
2023,2,9.4,0.34,5
2023,3,26.9,0.21,5
2023,4,33.6,3.7,5
2023,5,52.9,4.08,5
2023,6,64.6,2.39,5
2023,7,70.6,2.78,5
2023,8,69.5,1.38,5
2023,9,60.9,0.65,5
2023,10,46,0.68,5
2023,11,23.1,0.7,5
2023,12,6.8,1.49,5
2023,1,37,0.65,6
2023,2,38.5,1.7,6
2023,3,50.4,2.59,6
2023,4,61,2.65,6
2023,5,70.5,6.29,6
2023,6,79.3,3.71,6
2023,7,86.5,1.61,6
2023,8,82.4,2.16,6
2023,9,75.9,0.79,6
2023,10,62,2.85,6
2023,11,47.3,2.66,6
2023,12,40,1.91,6
2023,1,19.1,0.21,7
2023,2,19.8,0.28,7
2023,3,33.3,0.43,7
2023,4,39.6,2.64,7
2023,5,55.3,3.41,7
2023,6,67.6,2.34,7
2023,7,74.6,2.79,7
2023,8,73.2,1.83,7
2023,9,65.3,0.59,7
2023,10,49.4,0.56,7
2023,11,29,0.49,7
2023,12,15,1.42,7
2023,1,45.9,0.69,8
2023,2,45.9,1.07,8
2023,3,57.2,1.23,8
2023,4,68.8,1.29,8
2023,5,78,2.32,8
2023,6,83.8,1.41,8
2023,7,87.1,1.03,8
2023,8,83.3,4.33,8
2023,9,77.8,1.41,8
2023,10,66.4,2.36,8
2023,11,54,2.73,8
2023,12,50,1.36,8
